"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D16","SOT95P240X110-3N","105.4mm","93.5mm","105.4mm","93.5mm","105.4mm","93.5mm","T","0.0","BAT54S-7-F"
"D17","SOT95P240X110-3N","105.4mm","107.1mm","105.4mm","107.1mm","105.4mm","107.1mm","T","0.0","BAT54S-7-F"
"D18","0603","74.7mm","110.7mm","74.7mm","110.7mm","74.7mm","110.7mm","T","0.0","LTST-C191KFKT"
"FC1","FCAP","38.0mm","20.3mm","38.0mm","20.3mm","38.0mm","20.3mm","T","90.0","F1-4"
"FC2","FCAP","45.7mm","20.3mm","45.7mm","20.3mm","45.7mm","20.3mm","T","90.0","F1-4"
"FC3","FCAP","63.1mm","65.4mm","63.1mm","65.4mm","63.1mm","65.4mm","T","270.0","F1-4"
"FL1","BEADC2012X105N","33.3mm","18.4mm","33.3mm","18.4mm","33.3mm","18.4mm","T","90.0","330@100MHz"
"FL2","BEADC2012X105N","41.9mm","19.3mm","41.9mm","19.3mm","41.9mm","19.3mm","T","90.0","330@100MHz"
"FL3","BEADC2012X105N","50.4mm","18.3mm","50.4mm","18.3mm","50.4mm","18.3mm","T","90.0","330@100MHz"
"FL4","BEADC2012X105N","59.4mm","66.4mm","59.4mm","66.4mm","59.4mm","66.4mm","T","0.0","330@100MHz"
"FL5","BEADC2012X105N","59.3mm","63.4mm","59.3mm","63.4mm","59.3mm","63.4mm","T","0.0","330@100MHz"
"L1","IND_BLM18_0603_MUR","65.2mm","18.2mm","65.2mm","18.2mm","65.2mm","18.2mm","T","180.0","1k@100MHz"
"L2","IND_BLM18_0603_MUR","66.8mm","41.0mm","66.8mm","41.0mm","66.8mm","41.0mm","T","180.0","1k@100MHz"
"L3","IND_BLM18_0603_MUR","68.2mm","79.5mm","68.2mm","79.5mm","68.2mm","79.5mm","T","180.0","1k@100MHz"
"L4","IND_BLM18_0603_MUR","69.2mm","101.7mm","69.2mm","101.7mm","69.2mm","101.7mm","T","180.0","1k@100MHz"
"L5","IND_BLM18_0603_MUR","61.1mm","58.0mm","61.1mm","58.0mm","61.1mm","58.0mm","T","0.0","1k@100MHZ"
"PS1","RESC3115X65N","35.7mm","7.9mm","35.7mm","7.9mm","35.7mm","7.9mm","T","0.0","POLYSWITCH"
"PS2","RESC3115X65N","48.1mm","8.0mm","48.1mm","8.0mm","48.1mm","8.0mm","T","180.0","POLYSWITCH"
"R2","RESC1508X50N","53.3mm","44.6mm","53.3mm","44.6mm","53.3mm","44.6mm","T","0.0","33ohm 1% 0603"
"R3","RESC1508X50N","53.5mm","31.0mm","53.5mm","31.0mm","53.5mm","31.0mm","T","0.0","33ohm 1% 0603"
"R4","RESC3225X60N","125.1mm","13.0mm","125.1mm","13.0mm","125.1mm","13.0mm","T","180.0","CRCW12101K00FKEA"
"R5","RESC3225X60N","124.8mm","25.0mm","124.8mm","25.0mm","124.8mm","25.0mm","T","180.0","CRCW12101K00FKEA"
"R6","RESC1608X55N","53.1mm","50.9mm","53.1mm","50.9mm","53.1mm","50.9mm","T","0.0","1kohm 5% 0603"
"R7","RESC3225X60N","125.1mm","37.8mm","125.1mm","37.8mm","125.1mm","37.8mm","T","180.0","CRCW12101K00FKEA"
"R8","RC0603N_PAN","67.1mm","5.2mm","67.1mm","5.2mm","67.1mm","5.2mm","T","90.0","15kohm 0.1% 0603"
"R9","RESC1508X50N","53.0mm","59.3mm","53.0mm","59.3mm","53.0mm","59.3mm","T","0.0","33ohm 1% 0603"
"R10","RESC1508X50N","53.1mm","56.5mm","53.1mm","56.5mm","53.1mm","56.5mm","T","0.0","33ohm 1% 0603"
"R11","RESC1508X50N","53.3mm","36.4mm","53.3mm","36.4mm","53.3mm","36.4mm","T","0.0","33ohm 1% 0603"
"R12","RESC3225X60N","124.6mm","50.7mm","124.6mm","50.7mm","124.6mm","50.7mm","T","180.0","CRCW12101K00FKEA"
"R13","RC0603N_PAN","67.6mm","29.1mm","67.6mm","29.1mm","67.6mm","29.1mm","T","90.0","15kohm 0.1% 0603"
"R14","RESC3125X65N","124.7mm","19.1mm","124.7mm","19.1mm","124.7mm","19.1mm","T","180.0","MICROSMD005F-2"
"R15","RESC3125X65N","125.1mm","6.9mm","125.1mm","6.9mm","125.1mm","6.9mm","T","180.0","MICROSMD005F-2"
"R16","RESC3125X65N","124.7mm","44.2mm","124.7mm","44.2mm","124.7mm","44.2mm","T","180.0","MICROSMD005F-2"
"R17","RESC3125X65N","125.1mm","32.0mm","125.1mm","32.0mm","125.1mm","32.0mm","T","180.0","MICROSMD005F-2"
"R18","RESC1608X55N","71.6mm","5.2mm","71.6mm","5.2mm","71.6mm","5.2mm","T","270.0","160ohm 1% 060"
"R19","RESC1608X55N","72.4mm","29.1mm","72.4mm","29.1mm","72.4mm","29.1mm","T","270.0","160ohm 1% 060"
"R20","RESC3125X65N","124.2mm","72.0mm","124.2mm","72.0mm","124.2mm","72.0mm","T","180.0","MICROSMD005F-2"
"R21","RESC3125X65N","124.8mm","59.1mm","124.8mm","59.1mm","124.8mm","59.1mm","T","180.0","MICROSMD005F-2"
"R22","RC0603N_PAN","70.7mm","66.7mm","70.7mm","66.7mm","70.7mm","66.7mm","T","90.0","15kohm 0.1% 0603"
"R23","RESC1608X55N","75.3mm","66.8mm","75.3mm","66.8mm","75.3mm","66.8mm","T","270.0","160ohm 1% 060"
"R24","RESC3225X60N","124.7mm","65.2mm","124.7mm","65.2mm","124.7mm","65.2mm","T","180.0","CRCW12101K00FKEA"
"R25","RESC3225X60N","124.6mm","78.2mm","124.6mm","78.2mm","124.6mm","78.2mm","T","180.0","CRCW12101K00FKEA"
"R26","RESC3125X65N","124.3mm","100.6mm","124.3mm","100.6mm","124.3mm","100.6mm","T","180.0","MICROSMD005F-2"
"R27","RESC3125X65N","124.5mm","87.6mm","124.5mm","87.6mm","124.5mm","87.6mm","T","180.0","MICROSMD005F-2"
"R28","RC0603N_PAN","71.4mm","88.6mm","71.4mm","88.6mm","71.4mm","88.6mm","T","90.0","15kohm 0.1% 0603"
"R29","RESC1608X55N","75.9mm","88.6mm","75.9mm","88.6mm","75.9mm","88.6mm","T","270.0","160ohm 1% 0603"
"R30","RESC3225X60N","124.3mm","94.1mm","124.3mm","94.1mm","124.3mm","94.1mm","T","180.0","CRCW12101K00FKEA"
"R31","RESC3225X60N","124.3mm","107.2mm","124.3mm","107.2mm","124.3mm","107.2mm","T","180.0","CRCW12101K00FKEA"
"R32","RESC1608X55N","62.5mm","48.6mm","62.5mm","48.6mm","62.5mm","48.6mm","T","90.0","0ohm 0603"
"R33","RESC1608X55N","60.4mm","48.6mm","60.4mm","48.6mm","60.4mm","48.6mm","T","270.0","0ohm 0603"
"R34","RESC1608X55N","66.2mm","48.1mm","66.2mm","48.1mm","66.2mm","48.1mm","T","90.0","0ohm 0603"
"R35","RC0603N_PAN","70.8mm","110.8mm","70.8mm","110.8mm","70.8mm","110.8mm","T","180.0","1kohm 5% 0603"
"R36","RC0603N_PAN","67.7mm","110.7mm","67.7mm","110.7mm","67.7mm","110.7mm","T","0.0","10kohm 5% 0603"
"R37","RC0603N_PAN","67.6mm","108.8mm","67.6mm","108.8mm","67.6mm","108.8mm","T","0.0","10kohm 5% 0603"
"R38","RESC1608X55N","31.8mm","98.1mm","31.8mm","98.1mm","31.8mm","98.1mm","T","0.0","CRCW06030000Z0EBC"
"R40","RC0603N_PAN","14.9mm","33.0mm","14.9mm","33.0mm","14.9mm","33.0mm","T","0.0","10kohm 5% 0603"
"TP1","B1,27","38.0mm","26.5mm","38.0mm","26.5mm","38.0mm","26.5mm","T","0.0","PTR1B1,27"
"TP2","B1,27","48.8mm","26.3mm","48.8mm","26.3mm","48.8mm","26.3mm","T","0.0","PTR1B1,27"
"TP3","B1,27","73.3mm","2.0mm","73.3mm","2.0mm","73.3mm","2.0mm","T","0.0","PTR1B1,27"
"TP4","B1,27","77.2mm","85.6mm","77.2mm","85.6mm","77.2mm","85.6mm","T","0.0","PTR1B1,27"
"TP5","B1,27","73.7mm","26.0mm","73.7mm","26.0mm","73.7mm","26.0mm","T","0.0","PTR1B1,27"
"TP6","B1,27","77.0mm","63.5mm","77.0mm","63.5mm","77.0mm","63.5mm","T","0.0","PTR1B1,27"
"TP7","B1,27","71.8mm","61.1mm","71.8mm","61.1mm","71.8mm","61.1mm","T","0.0","PTR1B1,27"
"TV1","DIOM5436X220N","132.1mm","100.8mm","132.1mm","100.8mm","132.1mm","100.8mm","T","0.0","54_SMBJ54CA"
"TV2","DIOM5436X220N","132.3mm","87.6mm","132.3mm","87.6mm","132.3mm","87.6mm","T","0.0","54_SMBJ54CA"
"TV3","DIOM5436X220N","131.8mm","94.6mm","131.8mm","94.6mm","131.8mm","94.6mm","T","0.0","SMBJ54CA"
"TV4","DIOM5436X220N","132.0mm","107.6mm","132.0mm","107.6mm","132.0mm","107.6mm","T","0.0","54_SMBJ54CA"
"TV5","DIOM5436X220N","132.6mm","19.2mm","132.6mm","19.2mm","132.6mm","19.2mm","T","0.0","54_SMBJ54CA"
"TV6","DIOM5436X220N","133.1mm","6.6mm","133.1mm","6.6mm","133.1mm","6.6mm","T","0.0","54_SMBJ54CA"
"TV7","DIOM5436X220N","133.2mm","13.0mm","133.2mm","13.0mm","133.2mm","13.0mm","T","0.0","54_SMBJ54CA"
"TV8","DIOM5436X220N","132.5mm","25.3mm","132.5mm","25.3mm","132.5mm","25.3mm","T","0.0","54_SMBJ54CA"
"TV9","DIOM5436X220N","132.2mm","44.5mm","132.2mm","44.5mm","132.2mm","44.5mm","T","0.0","54_SMBJ54CA"
"TV10","DIOM5436X220N","132.7mm","32.1mm","132.7mm","32.1mm","132.7mm","32.1mm","T","0.0","54_SMBJ54CA"
"TV11","DIOM5436X220N","132.5mm","38.2mm","132.5mm","38.2mm","132.5mm","38.2mm","T","0.0","54_SMBJ54CA"
"TV12","DIOM5436X220N","132.3mm","50.9mm","132.3mm","50.9mm","132.3mm","50.9mm","T","0.0","54_SMBJ54CA"
"TV13","DIOM5436X220N","132.3mm","72.1mm","132.3mm","72.1mm","132.3mm","72.1mm","T","0.0","54_SMBJ54CA"
"TV14","DIOM5436X220N","132.7mm","59.3mm","132.7mm","59.3mm","132.7mm","59.3mm","T","0.0","54_SMBJ54CA"
"TV15","DIOM5436X220N","132.6mm","65.3mm","132.6mm","65.3mm","132.6mm","65.3mm","T","0.0","54_SMBJ54CA"
"TV16","DIOM5436X220N","132.2mm","78.4mm","132.2mm","78.4mm","132.2mm","78.4mm","T","0.0","54_SMBJ54CA"
"TV17","DIOM5436X220N","116.5mm","100.5mm","116.5mm","100.5mm","116.5mm","100.5mm","T","180.0","SMBJ16CA"
"TV18","DIOM5436X220N","117.0mm","87.4mm","117.0mm","87.4mm","117.0mm","87.4mm","T","180.0","SMBJ16CA"
"TV19","DIOM5436X220N","116.5mm","94.1mm","116.5mm","94.1mm","116.5mm","94.1mm","T","180.0","SMBJ16CA"
"TV20","DIOM5436X220N","116.3mm","106.9mm","116.3mm","106.9mm","116.3mm","106.9mm","T","180.0","SMBJ16CA"
"TV21","DIOM5436X220N","117.0mm","18.8mm","117.0mm","18.8mm","117.0mm","18.8mm","T","180.0","SMBJ16CA"
"TV22","DIOM5436X220N","117.2mm","6.2mm","117.2mm","6.2mm","117.2mm","6.2mm","T","180.0","SMBJ16CA"
"TV23","DIOM5436X220N","117.1mm","12.7mm","117.1mm","12.7mm","117.1mm","12.7mm","T","180.0","SMBJ16CA"
"TV24","DIOM5436X220N","116.8mm","25.1mm","116.8mm","25.1mm","116.8mm","25.1mm","T","180.0","SMBJ16CA"
"TV25","DIOM5436X220N","116.7mm","44.1mm","116.7mm","44.1mm","116.7mm","44.1mm","T","180.0","SMBJ16CA"
"TV26","DIOM5436X220N","117.2mm","32.0mm","117.2mm","32.0mm","117.2mm","32.0mm","T","180.0","SMBJ16CA"
"TV27","DIOM5436X220N","117.1mm","37.8mm","117.1mm","37.8mm","117.1mm","37.8mm","T","180.0","SMBJ16CA"
"TV28","DIOM5436X220N","117.0mm","50.8mm","117.0mm","50.8mm","117.0mm","50.8mm","T","180.0","SMBJ16CA"
"TV29","DIOM5436X220N","116.6mm","71.5mm","116.6mm","71.5mm","116.6mm","71.5mm","T","180.0","SMBJ16CA"
"TV30","DIOM5436X220N","116.8mm","59.3mm","116.8mm","59.3mm","116.8mm","59.3mm","T","180.0","SMBJ16CA"
"TV31","DIOM5436X220N","116.7mm","65.3mm","116.7mm","65.3mm","116.7mm","65.3mm","T","180.0","SMBJ16CA"
"TV32","DIOM5436X220N","116.5mm","77.7mm","116.5mm","77.7mm","116.5mm","77.7mm","T","180.0","SMBJ16CA"
"TV33","DIOM5436X220N","38.6mm","13.5mm","38.6mm","13.5mm","38.6mm","13.5mm","T","270.0","SMBJ16CA"
"TV34","DIOM5436X220N","45.2mm","13.5mm","45.2mm","13.5mm","45.2mm","13.5mm","T","90.0","SMBJ16CA"
"U1","CP_32_7_ADI","71.6mm","11.9mm","71.6mm","11.9mm","71.6mm","11.9mm","T","0.0","AD5750-2BCPZ"
"U2","CP_32_7_ADI","72.1mm","36.3mm","72.1mm","36.3mm","72.1mm","36.3mm","T","0.0","AD5750-2BCPZ"
"U3","RW_16_ADI","41.9mm","38.1mm","41.9mm","38.1mm","41.9mm","38.1mm","T","0.0","ADUM3301BRWZ"
"U4","RW_16_ADI-L","41.5mm","54.4mm","41.5mm","54.4mm","41.5mm","54.4mm","T","0.0","ADUM5400ARWZRW_16_ADI-L"
"U5","CP_32_7_ADI","74.2mm","73.9mm","74.2mm","73.9mm","74.2mm","73.9mm","T","0.0","AD5750-2BCPZ"
"U6","CP_32_7_ADI","74.7mm","96.8mm","74.7mm","96.8mm","74.7mm","96.8mm","T","0.0","AD5750-2BCPZ"
"U7","RU-16_ADI","65.3mm","53.3mm","65.3mm","53.3mm","65.3mm","53.3mm","T","180.0","AD5686RARUZ"
"U9","CZRF","23.9mm","18.5mm","23.9mm","18.5mm","23.9mm","18.5mm","T","90.0","CZRF15VB-HF"
"U10","SOT95P280X145-6N","65.4mm","59.6mm","65.4mm","59.6mm","65.4mm","59.6mm","T","0.0","MAX6071BAUT25T"
